warmup step 0 ; o=-0.0021158535964787006
warmup step 1 ; o=-0.002078831195831299
warmup step 2 ; o=-0.0020967477466911077
warmup step 3 ; o=-0.0021125043276697397
warmup step 4 ; o=-0.002095586620271206
warmup step 5 ; o=-0.002083358820527792
warmup step 6 ; o=-0.002083358820527792
warmup step 7 ; o=-0.0020670078229159117
warmup step 8 ; o=-0.0020670078229159117
warmup step 9 ; o=-0.0020670078229159117
warmup step 10 ; o=-0.0020670078229159117
warmup step 11 ; o=-0.0021126798819750547
warmup step 12 ; o=-0.0021126798819750547
warmup step 13 ; o=-0.002119880635291338
warmup step 14 ; o=-0.002119880635291338
warmup step 15 ; o=-0.0021506589837372303
warmup step 16 ; o=-0.002206374192610383
warmup step 17 ; o=-0.002206374192610383
warmup step 18 ; o=-0.002206374192610383
warmup step 19 ; o=-0.002193434163928032
warmup step 20 ; o=-0.002193434163928032
warmup step 21 ; o=-0.002118902513757348
warmup step 22 ; o=-0.002124693477526307
warmup step 23 ; o=-0.0021348067093640566
warmup step 24 ; o=-0.0021139488089829683
warmup step 25 ; o=-0.0021093874238431454
warmup step 26 ; o=-0.0021093874238431454
warmup step 27 ; o=-0.0021093874238431454
warmup step 28 ; o=-0.0021093874238431454
warmup step 29 ; o=-0.0021501127630472183
warmup step 30 ; o=-0.0021654735319316387
warmup step 31 ; o=-0.0021654735319316387
warmup step 32 ; o=-0.0021654735319316387
warmup step 33 ; o=-0.0021654735319316387
warmup step 34 ; o=-0.002136054914444685
warmup step 35 ; o=-0.002136054914444685
warmup step 36 ; o=-0.002137112431228161
warmup step 37 ; o=-0.002144016558304429
warmup step 38 ; o=-0.002133876085281372
warmup step 39 ; o=-0.0021039096172899008
warmup step 40 ; o=-0.00210855551995337
warmup step 41 ; o=-0.002153347246348858
warmup step 42 ; o=-0.0021311717573553324
warmup step 43 ; o=-0.002116403542459011
warmup step 44 ; o=-0.0021653389558196068
warmup step 45 ; o=-0.0021653389558196068
warmup step 46 ; o=-0.0021653389558196068
warmup step 47 ; o=-0.0021653389558196068
warmup step 48 ; o=-0.0021653389558196068
warmup step 49 ; o=-0.002220684429630637
warmup step 50 ; o=-0.002247595228254795
warmup step 51 ; o=-0.002274222206324339
warmup step 52 ; o=-0.002260867040604353
warmup step 53 ; o=-0.0022296018432825804
warmup step 54 ; o=-0.002221580594778061
warmup step 55 ; o=-0.002154646208509803
